name,genre,director,country,year,imdb_url
20 000 лье под водой,Криминальный фильм,Род Харди,Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118248/
20 000 лье под водой,Кинофантастика,Стюарт Патон,Соединённые Штаты Америки,1916,https://www.imdb.com/title/tt0006333/
20 000 лет в Синг-Синге,Криминальная драма,Майкл Кёртис,Соединённые Штаты Америки,1932,https://www.imdb.com/title/tt0023731/
15 минут славы,Криминальная драма,Джон Херцфелд,Кинематограф США,2001,https://www.imdb.com/title/tt0179626/
15 августа,Кинокомедия,Патрик Алессандрен,Кинематограф Франции,,https://www.imdb.com/title/tt0271935/
18 бронзовых бойцов,Боевик (киножанр),Джозеф Го,Гонконг,,https://www.imdb.com/title/tt0075203/
14+: Продолжение,Мелодрама,Андрей Зайцев,Россия,2023,https://www.imdb.com/title/tt16550728/
18 мая,,Ким Джи Хун,Республика Корея,2007,https://www.imdb.com/title/tt0800341/
14+,Мелодрама,Андрей Зайцев,Россия,2015,https://www.imdb.com/title/tt4427076/
«16 кварталов»,Детективный фильм,Ричард Доннер,Соединённые Штаты Америки,2006,https://www.imdb.com/title/tt0450232/
18 килогерц,Драма (жанр),Фархат Шарипов,Флаг Казахстана,2021,https://www.imdb.com/title/tt13259906/
17 девушек,,,Франция,2011,https://www.imdb.com/title/tt1860152/
13-й район: Ультиматум,Боевик (киножанр),Патрик Алессандрен,Франция,2009,https://www.imdb.com/title/tt1247640/
13-й район: Кирпичные особняки,Боевик (киножанр),Камиль Деламарр,Франция,2014,https://www.imdb.com/title/tt1430612/
13-й район,Антиутопия,Пьер Морель,Кинематограф Франции,2004,https://www.imdb.com/title/tt0414852/
Тринадцатый апостол,Фантастический фильм,Сурен Бабаян,Союз Советских Социалистических Республик,1988,https://www.imdb.com/title/tt0096308/
16 желаний,Подростковый фильм,Питер Делуиз,Соединённые Штаты Америки,,https://www.imdb.com/title/tt1646876/
13 часов: Тайные солдаты Бенгази,Военный фильм,Майкл Бэй,Соединённые Штаты Америки,2016,https://www.imdb.com/title/tt4172430/
14 июля,Кинокомедия,Рене Клер,Франция,1933,https://www.imdb.com/title/tt0024480/
14 клинков,Боевик (киножанр),Дэниел Ли,Гонконг,2010,https://www.imdb.com/title/tt1442571/
13 убийц,Боевик (киножанр),Такаси Миикэ,Япония,2010,https://www.imdb.com/title/tt1436045/
14 амазонок,Приключенческий фильм,Чэн Ган,Гонконг,1972,https://www.imdb.com/title/tt0187499/
13-й участок,Криминальный фильм,Мартин Фрич,Флаг Чехословакии,1946,https://www.imdb.com/title/tt0168443/
13-я жертва,Ужасы,Мэл Хаус,Соединённые Штаты Америки,2008,https://www.imdb.com/title/tt0473287/
13-й знак,Ужасы,Джонти Эктон,Великобритания,2000,https://www.imdb.com/title/tt0263005/
13 призраков,Фильм ужасов,Уильям Касл,Соединённые Штаты Америки,1960,https://www.imdb.com/title/tt0053559/
13 друзей хунты,Документальный фильм,,Россия,2014,
12 стульев,Кинокомедия,Марк Захаров,Союз Советских Социалистических Республик,,https://www.imdb.com/title/tt0075468/
13 стульев,Кинокомедия,Эмерих Йозеф Войтек,Нацистская Германия,1938,https://www.imdb.com/title/tt0029831/
12 стульев,Спектакль,Александр Белинский,Союз Советских Социалистических Республик,1966,https://www.imdb.com/title/tt1663304/
12 стульев,Кинокомедия,Леонид Гайдай,Кинематограф СССР,,https://www.imdb.com/title/tt0065670/
12 раундов,Боевик (киножанр),Ренни Харлин,Кинематограф США,2009,https://www.imdb.com/title/tt1160368/
13 изгнаний дьявола,Фильм ужасов,,Флаг Испании,2022,https://www.imdb.com/title/tt21199996/
12 разгневанных мужчин,Драма (жанр),Сидни Люмет,Соединённые Штаты Америки,1957,https://www.imdb.com/title/tt0050083/
13 дней во Франции,Документальный фильм,Клод Лелуш,Франция,1968,https://www.imdb.com/title/tt0189330/
12 обезьян,Кинофантастика,Терри Гиллиам,Соединённые Штаты Америки,1995,https://www.imdb.com/title/tt0114746/
13 грехов,Триллер,,Соединённые Штаты Америки,2014,https://www.imdb.com/title/tt2059171/
12 месяцев,Кинокомедия,Александр Баршак,Россия,2013,https://www.imdb.com/title/tt2585840/
12 дней террора,Ужасы,Джек Шолдер,Южно-Африканская Республика,2004,https://www.imdb.com/title/tt0373653/
12 лет рабства,Исторический фильм,Стив Маккуин,Соединённые Штаты Америки,2013,https://www.imdb.com/title/tt2024544/
«12»,Психология,Никита Михалков,Россия,2007,https://www.imdb.com/title/tt0488478/
12:08 к востоку от Бухареста,Кинокомедия,Корнелиу Порумбою,Румыния,2006,https://www.imdb.com/title/tt0809407/
11:14,Триллер,Грег Маркс,Соединённые Штаты Америки,2003,https://www.imdb.com/title/tt0331811/
12 раундов: Перезагрузка,Боевик (киножанр),[d],Соединённые Штаты Америки,,https://www.imdb.com/title/tt2317524/
12 разгневанных мужчин,d:Q3072039,Уильям Фридкин,Соединённые Штаты Америки,,https://www.imdb.com/title/tt0118528/
10 причин моей ненависти,Романтическая комедия,Джил Джангер,Соединённые Штаты Америки,1999,https://www.imdb.com/title/tt0147800/
11 сентября,Драма (жанр),Самира Махмальбаф,Соединённые Штаты Америки,2002,https://www.imdb.com/title/tt0328802/
10 на 10,Триллер,,Великобритания,2018,https://www.imdb.com/title/tt6210996/
10 лет спустя,Драма (жанр),Джеми Линден,Соединённые Штаты Америки,2011,https://www.imdb.com/title/tt1715873/
12 могил Ходжи Насреддина,Кинокомедия,Климентий Минц,Кинематограф СССР,1966,https://www.imdb.com/title/tt5069134/
